Gmt time,Open,High,Low,Close,Volume
14.03.2007 00:00:00.000,250.620,251.017,250.310,250.310,18199999.809299998
14.03.2007 04:00:00.000,250.774,252.943,250.310,251.237,502049991.6077
14.03.2007 08:00:00.000,251.789,252.021,250.748,251.076,1284649993.8965
14.03.2007 12:00:00.000,250.956,251.794,250.295,251.423,1428500000
14.03.2007 16:00:00.000,251.078,252.309,249.176,249.562,846550006.8664
14.03.2007 20:00:00.000,249.220,249.761,249.138,249.738,54349998.4741
15.03.2007 00:00:00.000,249.290,249.754,249.290,249.738,21000000
15.03.2007 04:00:00.000,249.290,249.947,249.104,249.352,204799993.515
15.03.2007 08:00:00.000,249.906,250.405,249.321,249.498,905199996.9483
15.03.2007 12:00:00.000,249.698,250.194,248.240,248.893,1154699996.9483
15.03.2007 16:00:00.000,248.742,249.664,248.208,249.055,671450012.207
15.03.2007 20:00:00.000,248.650,249.151,248.609,249.150,25000000
16.03.2007 00:00:00.000,248.310,249.088,248.310,249.088,7000000
16.03.2007 04:00:00.000,248.610,249.821,248.610,249.821,187799999.237
16.03.2007 08:00:00.000,249.837,250.005,248.317,249.359,1221849990.8448
16.03.2007 12:00:00.000,249.052,249.778,247.523,248.731,1234849975.586
16.03.2007 16:00:00.000,248.528,249.060,248.015,248.625,301350006.1035
16.03.2007 20:00:00.000,248.500,248.962,248.455,248.962,6000000
18.03.2007 20:00:00.000,246.770,247.138,246.226,246.718,66450000.7629
19.03.2007 00:00:00.000,246.687,246.780,244.420,244.430,100950000.7629
19.03.2007 04:00:00.000,244.937,246.605,243.729,244.421,757150016.7847
19.03.2007 08:00:00.000,244.463,246.449,244.233,245.143,1742500000
19.03.2007 12:00:00.000,245.626,246.286,244.616,245.510,1301600036.621
19.03.2007 16:00:00.000,245.335,245.807,244.720,245.460,361899993.8964
19.03.2007 20:00:00.000,245.448,245.448,245.030,245.060,6000000
20.03.2007 00:00:00.000,245.628,245.978,245.260,245.978,20000000
20.03.2007 04:00:00.000,245.628,245.947,244.720,244.915,312599998.4741
20.03.2007 08:00:00.000,245.212,246.844,244.640,246.531,1548399963.379
20.03.2007 12:00:00.000,246.457,246.829,245.451,246.732,1488950012.2070003
20.03.2007 16:00:00.000,246.710,247.088,245.647,245.742,468350013.7329
20.03.2007 20:00:00.000,246.388,246.463,245.770,246.020,23500000
21.03.2007 00:00:00.000,246.168,246.388,245.800,246.388,6000000
21.03.2007 04:00:00.000,246.168,246.738,245.591,246.444,256699996.9482
21.03.2007 08:00:00.000,246.239,247.619,245.690,247.211,1308200012.207
21.03.2007 12:00:00.000,247.254,247.866,246.315,247.252,1190900009.1553001
21.03.2007 16:00:00.000,247.254,247.464,244.840,245.120,639949996.9483
21.03.2007 20:00:00.000,245.533,245.584,245.000,245.120,37850000.3815
22.03.2007 00:00:00.000,245.468,245.468,244.770,245.438,28100000.3815
22.03.2007 04:00:00.000,245.138,246.451,244.750,246.233,400150009.1552
22.03.2007 08:00:00.000,246.049,246.640,244.950,245.344,1257799987.793
22.03.2007 12:00:00.000,245.711,246.185,244.359,245.170,1362300018.3105001
22.03.2007 16:00:00.000,245.214,246.054,244.570,245.307,549949996.9482
22.03.2007 20:00:00.000,245.688,245.718,245.120,245.120,16000000
23.03.2007 00:00:00.000,245.248,245.539,244.870,245.281,23149999.6185
23.03.2007 04:00:00.000,245.245,245.968,244.769,245.666,172649997.7112
23.03.2007 08:00:00.000,245.560,246.686,245.133,245.878,1201300018.3105001
23.03.2007 12:00:00.000,246.074,246.931,245.210,245.923,1201649993.8964
23.03.2007 16:00:00.000,245.719,246.795,245.109,245.836,481949993.1335
23.03.2007 20:00:00.000,246.118,246.188,245.650,245.770,12000000
25.03.2007 20:00:00.000,246.198,246.198,245.830,245.830,2000000
26.03.2007 00:00:00.000,245.948,246.059,245.580,245.580,30300000.190799996
26.03.2007 04:00:00.000,245.958,246.886,244.969,246.158,421850006.1035
26.03.2007 08:00:00.000,246.369,246.816,245.480,246.308,940900009.1552
26.03.2007 12:00:00.000,246.029,247.784,245.926,247.514,1395300018.3105001
26.03.2007 16:00:00.000,247.484,247.742,246.920,247.000,236350002.2888
26.03.2007 20:00:00.000,247.188,247.338,246.820,246.851,10000000
27.03.2007 00:00:00.000,246.870,247.238,246.870,247.238,2000000
27.03.2007 04:00:00.000,247.060,248.383,246.608,248.127,453850000.3815
27.03.2007 08:00:00.000,248.060,248.385,246.594,246.947,1220499984.7412
27.03.2007 12:00:00.000,247.080,248.091,246.482,247.051,1177600006.1035
27.03.2007 16:00:00.000,247.358,247.734,246.776,247.180,199700004.57770002
27.03.2007 20:00:00.000,247.688,247.918,246.650,247.500,27000000
28.03.2007 00:00:00.000,247.516,247.888,247.470,247.888,17000000
28.03.2007 04:00:00.000,247.838,249.172,247.470,249.170,747299972.5342
28.03.2007 08:00:00.000,249.082,249.554,247.838,248.197,1241700012.207
28.03.2007 12:00:00.000,248.802,249.551,248.037,249.173,1394200012.207
28.03.2007 16:00:00.000,249.164,249.581,248.251,248.500,339000009.5368
28.03.2007 20:00:00.000,248.713,249.138,248.300,248.770,29000000
29.03.2007 00:00:00.000,248.798,249.138,248.424,249.138,42100000.3815
29.03.2007 04:00:00.000,248.938,249.205,247.754,248.551,656600025.1769
29.03.2007 08:00:00.000,248.393,248.673,247.006,247.706,1211149978.6377
29.03.2007 12:00:00.000,247.681,248.291,246.969,248.048,1300750015.2588
29.03.2007 16:00:00.000,248.224,248.989,247.289,247.825,412749999.9999
29.03.2007 20:00:00.000,247.888,248.294,247.420,247.420,19000000
30.03.2007 00:00:00.000,247.670,247.788,247.230,247.788,5000000
30.03.2007 04:00:00.000,247.718,247.991,246.647,247.468,597149993.8965
30.03.2007 08:00:00.000,247.602,247.873,246.583,247.491,1172499969.4825
30.03.2007 12:00:00.000,247.443,248.669,246.064,247.916,1409350006.1035
30.03.2007 16:00:00.000,247.943,248.253,247.095,247.750,402549995.4224
30.03.2007 20:00:00.000,247.668,247.908,247.165,247.500,22200000.7629
01.04.2007 20:00:00.000,247.388,248.022,247.020,247.491,10000000
02.04.2007 00:00:00.000,247.538,247.548,246.920,247.528,9000000
02.04.2007 04:00:00.000,247.518,247.734,246.329,246.878,542400009.1552
02.04.2007 08:00:00.000,246.924,247.104,245.788,246.598,1109449981.6894999
02.04.2007 12:00:00.000,246.139,247.438,246.091,246.839,1147100021.3623
02.04.2007 16:00:00.000,247.118,247.484,246.451,246.920,213600002.2888
02.04.2007 20:00:00.000,247.368,247.388,246.900,247.388,10000000
03.04.2007 00:00:00.000,247.048,247.388,246.670,246.670,24000000
03.04.2007 04:00:00.000,247.048,247.452,245.900,246.311,491449996.9483
03.04.2007 08:00:00.000,246.854,247.231,246.005,246.286,775749992.3707
03.04.2007 12:00:00.000,246.159,246.756,244.577,245.109,1074650009.1552
