Gmt time,Open,High,Low,Close,Volume
05.05.2003 00:00:00.000,4.719,4.773,4.411,4.647,39800001.1443
05.05.2003 04:00:00.000,4.710,4.754,4.411,4.747,92350002.2888
05.05.2003 08:00:00.000,4.720,4.809,4.436,4.693,210049999.237
05.05.2003 12:00:00.000,4.507,4.827,4.434,4.725,142600002.2888
05.05.2003 16:00:00.000,4.667,4.849,4.469,4.674,78400001.52589999
05.05.2003 20:00:00.000,4.624,4.802,4.433,4.663,33699999.8093
06.05.2003 00:00:00.000,4.661,4.817,4.489,4.670,54149999.6185
06.05.2003 04:00:00.000,4.667,4.835,4.398,4.729,139750001.9074
06.05.2003 08:00:00.000,4.682,4.870,4.450,4.785,210049999.237
06.05.2003 12:00:00.000,4.736,4.856,4.474,4.724,193000000
06.05.2003 16:00:00.000,4.690,4.829,4.466,4.642,78049998.2834
06.05.2003 20:00:00.000,4.669,4.833,4.510,4.678,18800000.1908
07.05.2003 00:00:00.000,4.664,4.826,4.433,4.623,54399999.1418
07.05.2003 04:00:00.000,4.662,4.808,4.463,4.716,139550001.1444
07.05.2003 08:00:00.000,4.708,4.756,4.409,4.739,209499996.1853
07.05.2003 12:00:00.000,4.703,4.799,4.429,4.688,192900001.5259
07.05.2003 16:00:00.000,4.596,4.791,4.370,4.621,79300002.09809999
07.05.2003 20:00:00.000,4.646,4.724,4.463,4.689,19050000.1908
08.05.2003 00:00:00.000,4.708,4.759,4.395,4.566,31799999.2371
08.05.2003 04:00:00.000,4.603,4.793,4.400,4.687,140500000
08.05.2003 08:00:00.000,4.653,4.738,4.359,4.628,210000000
08.05.2003 12:00:00.000,4.660,4.779,4.395,4.703,193049999.2371
08.05.2003 16:00:00.000,4.654,4.825,4.471,4.624,78499999.5233
08.05.2003 20:00:00.000,4.715,4.790,4.529,4.675,8800000.1907
09.05.2003 00:00:00.000,4.728,4.782,4.463,4.675,54949999.8092
09.05.2003 04:00:00.000,4.725,4.802,4.439,4.746,140900001.5258
09.05.2003 08:00:00.000,4.729,4.801,4.416,4.756,210000000
09.05.2003 12:00:00.000,4.719,4.807,4.423,4.711,192900001.5259
09.05.2003 16:00:00.000,4.535,4.861,4.423,4.662,78200000.286
09.05.2003 20:00:00.000,4.662,4.662,4.662,4.662,0
12.05.2003 00:00:00.000,4.718,4.782,4.461,4.728,54650000.5721
12.05.2003 04:00:00.000,4.641,4.813,4.440,4.727,139200000.763
12.05.2003 08:00:00.000,4.696,4.839,4.454,4.760,209399997.7112
12.05.2003 12:00:00.000,4.723,4.832,4.443,4.743,192900001.5259
12.05.2003 16:00:00.000,4.623,4.905,4.436,4.694,79749999.5233
12.05.2003 20:00:00.000,4.767,4.824,4.564,4.716,8850000.3815
13.05.2003 00:00:00.000,4.708,4.848,4.511,4.722,56000000.000099994
13.05.2003 04:00:00.000,4.731,4.881,4.481,4.794,140349998.4741
13.05.2003 08:00:00.000,4.701,4.864,4.469,4.747,209899997.7112
13.05.2003 12:00:00.000,4.713,4.850,4.501,4.819,193049999.237
